time,apparent_temperature_max (°F),max_temperature,humidity,wind_speed_10m_max (km/h),precipitation_sum (mm),mean_temperature,date,pm25,city,pm25_lag_1,pm25_rolling_3,pm25_rolling_7
2022-05-01,88.5,83.2,84,19.2,1.8,76.0,2022-05-01,,Houston,,,
2022-05-02,88.4,86.6,77,33.2,0.5,78.2,2022-05-02,,Houston,,,
2022-05-03,89.3,85.5,80,23.8,4.6,77.9,2022-05-03,,Houston,,,
2022-05-04,89.0,86.9,79,33.2,2.0,79.2,2022-05-04,,Houston,,,
2022-05-05,89.0,88.3,80,34.6,9.3,78.7,2022-05-05,,Houston,,,
2022-05-06,98.2,90.2,78,20.4,0.0,77.3,2022-05-06,,Houston,,,
2022-05-07,101.9,93.7,76,19.5,0.0,81.9,2022-05-07,,Houston,,,
2022-05-08,98.0,92.4,74,26.4,0.0,82.5,2022-05-08,,Houston,,,
2022-05-09,96.2,92.5,74,28.7,0.0,83.0,2022-05-09,,Houston,,,
2022-05-10,93.2,88.7,72,26.7,0.0,82.0,2022-05-10,,Houston,,,
2022-05-11,92.7,88.1,76,22.9,0.0,80.1,2022-05-11,,Houston,,,
2022-05-12,93.1,88.8,73,21.3,0.0,78.0,2022-05-12,,Houston,,,
2022-05-13,97.9,93.0,70,22.0,0.0,79.6,2022-05-13,,Houston,,,
2022-05-14,96.6,91.1,69,20.2,2.4,79.7,2022-05-14,,Houston,,,
2022-05-15,98.3,92.8,68,20.5,0.2,80.7,2022-05-15,,Houston,,,
2022-05-16,103.1,93.9,66,20.5,0.0,82.4,2022-05-16,,Houston,,,
2022-05-17,99.5,93.8,71,23.7,0.0,81.5,2022-05-17,,Houston,,,
2022-05-18,96.0,94.1,67,25.6,0.0,82.6,2022-05-18,,Houston,,,
2022-05-19,94.3,91.4,69,30.4,0.0,82.2,2022-05-19,,Houston,,,
2022-05-20,93.5,93.1,70,34.7,0.0,83.7,2022-05-20,,Houston,,,
2022-05-21,96.5,92.1,76,27.9,16.5,82.7,2022-05-21,,Houston,,,
2022-05-22,91.2,85.0,76,22.8,1.6,76.5,2022-05-22,,Houston,,,
2022-05-23,85.6,82.3,77,16.1,0.3,74.5,2022-05-23,,Houston,,,
2022-05-24,84.3,80.1,87,23.9,26.3,74.3,2022-05-24,,Houston,,,
2022-05-25,84.7,82.0,76,26.6,19.0,73.8,2022-05-25,,Houston,,,
2022-05-26,92.2,88.9,63,16.2,0.0,76.3,2022-05-26,,Houston,,,
2022-05-27,97.7,91.7,70,15.9,0.0,79.9,2022-05-27,,Houston,,,
2022-05-28,100.9,92.8,72,23.4,0.1,78.9,2022-05-28,,Houston,,,
2022-05-29,93.7,90.3,74,27.1,0.0,80.9,2022-05-29,,Houston,,,
2022-05-30,91.6,88.7,74,30.3,2.2,81.3,2022-05-30,,Houston,,,
2022-05-31,95.1,89.2,78,26.0,1.4,81.7,2022-05-31,,Houston,,,
2022-06-01,97.2,88.3,77,19.9,1.6,81.2,2022-06-01,,Houston,,,
2022-06-02,97.9,91.2,76,18.5,0.8,80.5,2022-06-02,,Houston,,,
2022-06-03,96.9,92.3,66,17.1,0.0,80.3,2022-06-03,,Houston,,,
2022-06-04,99.3,88.6,76,13.1,6.1,78.4,2022-06-04,,Houston,,,
2022-06-05,99.0,91.1,75,22.9,1.3,81.5,2022-06-05,,Houston,,,
2022-06-06,97.0,92.8,68,26.8,0.1,83.7,2022-06-06,,Houston,,,
2022-06-07,99.0,92.8,68,24.0,0.0,84.3,2022-06-07,,Houston,,,
2022-06-08,103.9,96.4,69,22.5,0.7,85.6,2022-06-08,,Houston,,,
2022-06-09,104.1,95.6,71,20.6,0.7,85.4,2022-06-09,,Houston,,,
2022-06-10,105.3,96.3,70,23.1,0.5,85.9,2022-06-10,,Houston,,,
2022-06-11,106.8,98.2,67,22.0,0.0,87.0,2022-06-11,,Houston,,,
2022-06-12,104.2,97.6,67,23.9,0.0,86.7,2022-06-12,,Houston,,,
2022-06-13,99.3,96.9,67,24.5,0.0,86.5,2022-06-13,,Houston,,,
2022-06-14,97.0,95.2,71,25.8,1.8,85.2,2022-06-14,,Houston,,,
2022-06-15,104.1,97.2,69,22.0,0.5,86.0,2022-06-15,,Houston,,,
2022-06-16,106.1,96.7,69,15.6,0.0,85.9,2022-06-16,,Houston,,,
2022-06-17,102.6,92.9,72,15.3,0.9,84.7,2022-06-17,,Houston,,,
2022-06-18,102.4,94.1,70,16.1,0.8,85.1,2022-06-18,,Houston,,,
2022-06-19,104.7,98.5,59,15.3,0.0,87.6,2022-06-19,,Houston,,,
2022-06-20,106.9,96.6,64,24.1,0.0,87.5,2022-06-20,,Houston,,,
2022-06-21,102.5,94.4,73,22.8,2.2,84.6,2022-06-21,,Houston,,,
2022-06-22,104.1,95.2,71,12.2,0.4,85.3,2022-06-22,,Houston,,,
2022-06-23,105.3,98.3,58,20.2,0.0,87.5,2022-06-23,,Houston,,,
2022-06-24,104.6,97.8,62,19.4,0.0,86.8,2022-06-24,,Houston,,,
2022-06-25,104.2,98.3,63,19.6,0.0,86.6,2022-06-25,,Houston,,,
