time,apparent_temperature_max (°F),max_temperature,humidity,wind_speed_10m_max (km/h),precipitation_sum (mm),mean_temperature,date,pm25,city,pm25_lag_1,pm25_rolling_3,pm25_rolling_7
2022-05-01,75.0,74.7,71,16.5,0.0,63.5,2022-05-01,,LA,,,
2022-05-02,76.2,75.4,68,19.7,0.0,63.9,2022-05-02,,LA,,,
2022-05-03,77.1,75.9,68,20.1,0.0,64.3,2022-05-03,,LA,,,
2022-05-04,82.3,81.1,71,19.1,0.0,65.0,2022-05-04,,LA,,,
2022-05-05,80.8,80.3,70,18.5,0.0,65.7,2022-05-05,,LA,,,
2022-05-06,83.7,83.6,63,19.1,0.0,66.8,2022-05-06,,LA,,,
2022-05-07,79.3,78.6,69,19.5,0.0,65.8,2022-05-07,,LA,,,
2022-05-08,70.3,71.8,67,19.4,0.3,62.9,2022-05-08,,LA,,,
2022-05-09,70.6,72.0,59,21.5,0.4,61.0,2022-05-09,,LA,,,
2022-05-10,69.2,72.3,52,26.2,0.0,60.1,2022-05-10,,LA,,,
2022-05-11,66.8,73.0,41,26.7,0.0,61.2,2022-05-11,,LA,,,
2022-05-12,77.0,82.0,24,23.4,0.0,66.4,2022-05-12,,LA,,,
2022-05-13,90.3,91.7,25,20.6,0.0,72.4,2022-05-13,,LA,,,
2022-05-14,92.0,94.4,26,21.5,0.0,77.0,2022-05-14,,LA,,,
2022-05-15,88.3,89.2,47,25.5,0.0,70.6,2022-05-15,,LA,,,
2022-05-16,76.9,77.8,69,19.7,0.0,65.0,2022-05-16,,LA,,,
2022-05-17,76.1,75.2,72,17.1,0.0,64.2,2022-05-17,,LA,,,
2022-05-18,79.6,78.4,70,17.9,0.0,65.1,2022-05-18,,LA,,,
2022-05-19,77.9,76.7,75,16.9,0.3,63.7,2022-05-19,,LA,,,
2022-05-20,66.8,69.0,72,14.9,1.2,62.9,2022-05-20,,LA,,,
2022-05-21,73.4,73.9,70,19.5,0.8,64.3,2022-05-21,,LA,,,
2022-05-22,74.7,73.9,72,20.0,0.0,62.5,2022-05-22,,LA,,,
2022-05-23,77.7,76.0,75,18.2,0.0,61.9,2022-05-23,,LA,,,
2022-05-24,80.4,79.4,73,17.9,0.0,64.9,2022-05-24,,LA,,,
2022-05-25,81.6,79.5,76,17.1,0.0,65.8,2022-05-25,,LA,,,
2022-05-26,78.8,77.2,73,20.0,0.0,65.2,2022-05-26,,LA,,,
2022-05-27,76.6,75.3,72,20.1,0.0,63.5,2022-05-27,,LA,,,
2022-05-28,69.4,70.7,73,17.3,0.0,62.7,2022-05-28,,LA,,,
2022-05-29,76.3,76.6,66,19.4,0.0,65.6,2022-05-29,,LA,,,
2022-05-30,75.0,79.5,64,28.0,0.0,65.9,2022-05-30,,LA,,,
2022-05-31,81.1,80.5,63,20.1,0.0,67.0,2022-05-31,,LA,,,
2022-06-01,89.8,87.2,63,22.2,0.0,69.5,2022-06-01,,LA,,,
2022-06-02,87.2,85.1,74,20.6,0.0,68.0,2022-06-02,,LA,,,
2022-06-03,80.8,79.2,73,20.2,0.0,65.8,2022-06-03,,LA,,,
2022-06-04,82.0,80.2,70,19.2,0.0,67.0,2022-06-04,,LA,,,
2022-06-05,81.4,80.4,67,17.8,0.0,69.0,2022-06-05,,LA,,,
2022-06-06,85.6,83.0,71,18.8,0.0,70.3,2022-06-06,,LA,,,
2022-06-07,86.6,83.7,71,19.0,0.0,71.0,2022-06-07,,LA,,,
2022-06-08,88.5,85.3,73,19.4,0.0,70.6,2022-06-08,,LA,,,
2022-06-09,90.7,88.2,72,19.1,0.0,71.0,2022-06-09,,LA,,,
2022-06-10,92.1,89.2,72,19.4,0.0,72.2,2022-06-10,,LA,,,
2022-06-11,85.2,83.7,69,20.2,0.0,71.1,2022-06-11,,LA,,,
2022-06-12,85.5,83.0,71,18.3,0.0,69.9,2022-06-12,,LA,,,
2022-06-13,87.0,82.9,70,20.4,0.0,69.9,2022-06-13,,LA,,,
2022-06-14,86.7,83.5,69,20.5,0.1,71.1,2022-06-14,,LA,,,
2022-06-15,91.2,88.0,73,20.0,0.0,71.1,2022-06-15,,LA,,,
2022-06-16,90.4,86.6,73,19.1,0.0,70.7,2022-06-16,,LA,,,
2022-06-17,81.9,80.1,65,19.9,0.0,68.7,2022-06-17,,LA,,,
2022-06-18,79.6,79.3,63,20.8,0.0,67.7,2022-06-18,,LA,,,
2022-06-19,78.8,82.6,57,29.6,0.0,69.5,2022-06-19,,LA,,,
2022-06-20,93.4,95.4,35,23.4,0.0,77.0,2022-06-20,,LA,,,
2022-06-21,89.0,91.0,55,17.3,0.0,74.1,2022-06-21,,LA,,,
2022-06-22,96.2,88.0,73,20.6,37.1,73.6,2022-06-22,,LA,,,
2022-06-23,89.5,84.3,72,18.0,0.0,72.1,2022-06-23,,LA,,,
2022-06-24,89.3,85.1,70,16.9,0.0,70.5,2022-06-24,,LA,,,
2022-06-25,88.1,85.3,74,17.7,0.0,69.3,2022-06-25,,LA,,,
2022-06-26,91.9,89.6,69,18.1,0.0,71.3,2022-06-26,,LA,,,
2022-06-27,96.7,93.4,63,16.9,0.0,74.8,2022-06-27,,LA,,,
2022-06-28,94.7,93.1,56,17.1,0.0,76.6,2022-06-28,,LA,,,
2022-06-29,92.3,92.1,57,16.1,0.0,75.6,2022-06-29,,LA,,,
2022-06-30,91.9,89.1,64,18.8,0.0,73.9,2022-06-30,,LA,,,
2022-07-01,90.6,88.3,65,17.2,0.0,72.5,2022-07-01,,LA,,,
2022-07-02,84.7,83.0,66,17.8,0.0,70.5,2022-07-02,,LA,,,
2022-07-03,82.7,80.6,69,18.8,0.0,68.9,2022-07-03,,LA,,,
2022-07-04,82.6,80.9,67,18.4,0.0,69.0,2022-07-04,,LA,,,
2022-07-05,83.6,81.9,69,21.5,0.0,69.9,2022-07-05,,LA,,,
2022-07-06,85.4,82.6,71,22.5,0.0,70.6,2022-07-06,,LA,,,
2022-07-07,88.8,86.8,69,20.5,0.0,71.4,2022-07-07,,LA,,,
2022-07-08,87.9,85.4,71,20.2,0.0,70.6,2022-07-08,,LA,,,
2022-07-09,86.3,85.1,69,21.4,0.0,71.7,2022-07-09,,LA,,,
2022-07-10,92.6,89.9,67,18.9,0.0,72.8,2022-07-10,,LA,,,
2022-07-11,86.6,83.7,72,17.9,0.0,69.7,2022-07-11,,LA,,,
2022-07-12,81.0,80.0,72,17.1,0.0,68.4,2022-07-12,,LA,,,
2022-07-13,82.6,81.9,71,19.8,0.0,68.8,2022-07-13,,LA,,,
2022-07-14,84.0,82.0,70,18.6,0.0,70.1,2022-07-14,,LA,,,
