time,apparent_temperature_max (°F),max_temperature,humidity,wind_speed_10m_max (km/h),precipitation_sum (mm),mean_temperature,date,pm25,city,pm25_lag_1,pm25_rolling_3,pm25_rolling_7
2022-05-01,64.1,65.8,63,17.9,1.0,53.2,2022-05-01,,NY,,,
2022-05-02,57.4,59.1,86,16.5,2.8,53.9,2022-05-02,,NY,,,
2022-05-03,65.0,65.4,82,22.7,0.0,53.1,2022-05-03,,NY,,,
2022-05-04,68.2,69.3,86,18.1,5.3,56.4,2022-05-04,,NY,,,
2022-05-05,72.8,71.6,69,17.6,0.0,60.8,2022-05-05,,NY,,,
2022-05-06,57.2,57.6,88,13.7,21.7,54.5,2022-05-06,,NY,,,
2022-05-07,44.6,51.1,88,33.0,28.6,47.8,2022-05-07,,NY,,,
2022-05-08,44.8,55.4,58,30.4,2.4,49.6,2022-05-08,,NY,,,
2022-05-09,60.0,65.9,45,24.4,0.0,54.2,2022-05-09,,NY,,,
2022-05-10,62.1,68.2,39,24.1,0.0,57.1,2022-05-10,,NY,,,
2022-05-11,68.0,70.3,57,23.3,0.0,58.5,2022-05-11,,NY,,,
2022-05-12,72.1,70.0,84,16.1,0.0,59.9,2022-05-12,,NY,,,
2022-05-13,73.4,70.7,93,14.1,1.8,61.7,2022-05-13,,NY,,,
2022-05-14,72.6,69.4,95,15.8,7.0,62.0,2022-05-14,,NY,,,
2022-05-15,79.9,76.7,90,21.0,1.0,64.5,2022-05-15,,NY,,,
2022-05-16,78.1,73.9,88,24.9,6.9,66.5,2022-05-16,,NY,,,
2022-05-17,66.6,73.9,58,32.5,0.0,64.2,2022-05-17,,NY,,,
2022-05-18,67.5,70.7,53,18.2,0.0,61.5,2022-05-18,,NY,,,
2022-05-19,71.2,71.6,81,13.3,14.1,60.3,2022-05-19,,NY,,,
2022-05-20,71.2,70.8,87,22.3,5.8,61.8,2022-05-20,,NY,,,
2022-05-21,100.2,90.1,81,20.8,0.0,73.8,2022-05-21,,NY,,,
2022-05-22,94.5,87.4,72,18.9,1.1,77.7,2022-05-22,,NY,,,
2022-05-23,69.9,72.8,54,22.6,0.0,66.8,2022-05-23,,NY,,,
2022-05-24,64.5,66.8,72,19.5,0.1,61.1,2022-05-24,,NY,,,
2022-05-25,66.0,66.6,69,19.1,0.0,58.5,2022-05-25,,NY,,,
2022-05-26,65.4,67.6,79,25.4,0.0,60.5,2022-05-26,,NY,,,
2022-05-27,77.7,74.9,89,23.6,12.3,67.6,2022-05-27,,NY,,,
2022-05-28,76.1,73.9,84,21.3,6.8,68.8,2022-05-28,,NY,,,
2022-05-29,76.8,76.5,72,17.6,0.0,66.9,2022-05-29,,NY,,,
2022-05-30,88.9,84.6,74,24.7,0.0,72.0,2022-05-30,,NY,,,
2022-05-31,96.5,92.8,61,17.1,0.0,81.0,2022-05-31,,NY,,,
2022-06-01,73.1,71.1,80,19.1,8.8,64.9,2022-06-01,,NY,,,
2022-06-02,85.4,80.6,85,13.7,7.5,69.5,2022-06-02,,NY,,,
2022-06-03,81.9,76.1,80,19.4,2.2,69.4,2022-06-03,,NY,,,
2022-06-04,81.3,79.8,66,23.1,0.0,68.2,2022-06-04,,NY,,,
2022-06-05,76.0,75.1,54,19.1,0.0,65.6,2022-06-05,,NY,,,
2022-06-06,78.6,79.1,58,23.5,0.0,68.0,2022-06-06,,NY,,,
2022-06-07,74.9,76.5,69,34.2,0.9,67.9,2022-06-07,,NY,,,
2022-06-08,85.1,85.1,74,22.3,0.4,73.4,2022-06-08,,NY,,,
2022-06-09,81.4,82.9,72,29.2,9.4,73.3,2022-06-09,,NY,,,
2022-06-10,76.6,79.3,59,23.6,0.0,69.1,2022-06-10,,NY,,,
2022-06-11,76.9,75.9,65,11.2,0.8,68.7,2022-06-11,,NY,,,
2022-06-12,73.0,73.1,87,24.5,8.3,66.6,2022-06-12,,NY,,,
2022-06-13,88.5,81.8,77,15.5,4.6,73.8,2022-06-13,,NY,,,
2022-06-14,85.3,82.3,57,23.7,0.0,72.8,2022-06-14,,NY,,,
2022-06-15,85.2,80.6,70,27.6,0.0,70.8,2022-06-15,,NY,,,
2022-06-16,73.1,73.8,78,30.0,13.1,68.3,2022-06-16,,NY,,,
2022-06-17,89.0,89.8,63,31.3,0.0,77.5,2022-06-17,,NY,,,
2022-06-18,68.5,71.6,53,31.9,0.0,66.8,2022-06-18,,NY,,,
2022-06-19,63.2,72.1,43,32.5,0.0,63.7,2022-06-19,,NY,,,
2022-06-20,76.2,79.8,48,18.9,0.0,67.7,2022-06-20,,NY,,,
2022-06-21,78.4,79.8,60,13.5,2.1,68.3,2022-06-21,,NY,,,
2022-06-22,68.8,68.9,84,25.5,2.7,65.6,2022-06-22,,NY,,,
2022-06-23,72.3,72.3,80,17.4,1.0,66.8,2022-06-23,,NY,,,
2022-06-24,83.2,78.8,79,21.3,0.6,69.6,2022-06-24,,NY,,,
2022-06-25,95.4,90.6,67,23.3,0.0,76.0,2022-06-25,,NY,,,
2022-06-26,89.7,87.6,65,32.4,0.0,76.9,2022-06-26,,NY,,,
2022-06-27,84.5,80.1,76,24.0,8.5,74.8,2022-06-27,,NY,,,
2022-06-28,81.8,82.3,55,16.0,0.2,72.5,2022-06-28,,NY,,,
2022-06-29,85.6,84.6,63,29.7,0.0,73.1,2022-06-29,,NY,,,
2022-06-30,90.0,89.2,60,23.0,0.0,75.7,2022-06-30,,NY,,,
2022-07-01,94.9,92.9,67,33.9,0.0,79.8,2022-07-01,,NY,,,
2022-07-02,91.2,86.6,76,20.9,14.6,78.6,2022-07-02,,NY,,,
2022-07-03,90.1,88.2,61,17.0,0.1,78.2,2022-07-03,,NY,,,
2022-07-04,86.9,86.4,45,19.1,0.0,75.6,2022-07-04,,NY,,,
2022-07-05,85.8,86.6,66,32.5,0.9,75.8,2022-07-05,,NY,,,
2022-07-06,90.5,89.4,66,21.4,0.1,80.2,2022-07-06,,NY,,,
2022-07-07,81.9,80.8,67,23.7,0.0,75.0,2022-07-07,,NY,,,
2022-07-08,88.9,84.3,78,17.0,1.4,74.6,2022-07-08,,NY,,,
2022-07-09,90.1,85.6,66,24.2,0.0,75.8,2022-07-09,,NY,,,
2022-07-10,84.5,81.2,58,23.2,0.0,73.0,2022-07-10,,NY,,,
2022-07-11,83.8,83.4,66,35.2,0.0,72.8,2022-07-11,,NY,,,
2022-07-12,94.3,93.2,63,36.2,0.6,79.6,2022-07-12,,NY,,,
2022-07-13,94.0,91.1,62,30.0,0.0,80.4,2022-07-13,,NY,,,
2022-07-14,95.8,89.0,60,20.8,0.3,79.6,2022-07-14,,NY,,,
2022-07-15,84.8,83.5,60,20.1,0.1,76.2,2022-07-15,,NY,,,
2022-07-16,87.6,82.1,82,17.7,13.1,74.4,2022-07-16,,NY,,,
2022-07-17,88.2,82.5,80,19.2,1.0,75.6,2022-07-17,,NY,,,
2022-07-18,90.3,86.4,84,24.7,13.0,77.5,2022-07-18,,NY,,,
2022-07-19,95.8,92.8,66,22.2,0.0,80.9,2022-07-19,,NY,,,
2022-07-20,101.0,93.3,63,20.7,0.0,82.9,2022-07-20,,NY,,,
2022-07-21,98.3,92.8,68,25.2,2.6,83.8,2022-07-21,,NY,,,
2022-07-22,98.4,93.7,63,28.9,0.0,81.8,2022-07-22,,NY,,,
2022-07-23,100.4,94.2,62,25.4,0.0,82.9,2022-07-23,,NY,,,
2022-07-24,99.7,96.9,53,29.2,0.0,86.1,2022-07-24,,NY,,,
2022-07-25,94.6,88.9,75,25.5,24.0,81.3,2022-07-25,,NY,,,
2022-07-26,84.9,84.2,59,21.1,0.1,76.7,2022-07-26,,NY,,,
2022-07-27,85.4,82.9,68,20.2,0.0,75.0,2022-07-27,,NY,,,
2022-07-28,95.4,87.4,80,25.1,1.3,79.1,2022-07-28,,NY,,,
2022-07-29,89.1,87.4,66,18.3,0.4,79.9,2022-07-29,,NY,,,
2022-07-30,87.3,90.1,57,22.0,0.8,79.7,2022-07-30,,NY,,,
2022-07-31,85.0,83.8,66,20.0,0.0,76.1,2022-07-31,,NY,,,
2022-08-01,83.6,79.4,77,22.3,7.4,74.2,2022-08-01,,NY,,,
2022-08-02,95.4,92.2,68,16.9,0.0,80.6,2022-08-02,,NY,,,
2022-08-03,94.2,90.6,67,22.2,0.0,78.3,2022-08-03,18.1,NY,,,
2022-08-04,97.2,91.9,67,29.3,0.0,81.0,2022-08-04,17.754166666666666,NY,18.1,,
2022-08-05,98.7,91.3,65,14.0,0.4,82.5,2022-08-05,15.0375,NY,17.754166666666666,,
2022-08-06,95.0,90.7,72,27.2,1.2,82.2,2022-08-06,15.320833333333333,NY,15.0375,16.96388888888889,
2022-08-07,95.2,93.8,72,27.4,5.1,83.1,2022-08-07,8.683333333333334,NY,15.320833333333333,16.037499999999998,
2022-08-08,98.8,94.5,65,24.0,0.7,85.4,2022-08-08,8.954166666666667,NY,8.683333333333334,13.013888888888888,
2022-08-09,105.6,99.6,68,19.6,7.1,86.3,2022-08-09,8.354166666666666,NY,8.954166666666667,10.986111111111109,
2022-08-10,94.5,91.0,70,23.7,0.1,79.7,2022-08-10,11.541666666666666,NY,8.354166666666666,8.66388888888889,13.17202380952381
2022-08-11,90.7,90.2,67,13.5,0.8,79.7,2022-08-11,14.8875,NY,11.541666666666666,9.616666666666667,12.235119047619047
2022-08-12,82.3,84.7,47,23.5,0.0,77.3,2022-08-12,5.245833333333334,NY,14.8875,11.594444444444443,11.825595238095238
2022-08-13,79.4,81.0,49,22.2,0.0,71.9,2022-08-13,6.479166666666667,NY,5.245833333333334,10.558333333333334,10.426785714285714
2022-08-14,79.2,80.8,59,24.9,0.0,72.0,2022-08-14,13.425,NY,6.479166666666667,8.870833333333334,9.163690476190476
2022-08-15,82.7,81.5,62,17.0,0.1,72.8,2022-08-15,13.670833333333334,NY,13.425,8.383333333333335,9.841071428571428
2022-08-16,79.3,82.8,64,26.1,0.0,73.1,2022-08-16,13.770833333333334,NY,13.670833333333334,11.191666666666668,10.514880952380953
2022-08-17,79.1,80.8,62,19.6,0.2,72.8,2022-08-17,13.541666666666666,NY,13.770833333333334,13.622222222222222,11.288690476190476
2022-08-18,84.9,87.5,60,16.8,0.1,75.1,2022-08-18,11.745833333333332,NY,13.541666666666666,13.661111111111111,11.574404761904763
2022-08-19,90.0,89.1,57,28.0,0.0,76.3,2022-08-19,11.091666666666669,NY,11.745833333333332,13.019444444444444,11.125595238095238
2022-08-20,92.6,89.2,63,22.2,0.3,78.7,2022-08-20,15.291666666666666,NY,11.091666666666669,12.126388888888888,11.960714285714285
2022-08-21,86.2,82.2,78,22.2,0.0,75.4,2022-08-21,10.654166666666669,NY,15.291666666666666,12.70972222222222,13.219642857142858
2022-08-22,82.2,76.2,88,15.9,17.8,73.4,2022-08-22,10.758333333333333,NY,10.654166666666669,12.345833333333337,12.823809523809524
2022-08-23,90.9,84.6,77,15.6,5.8,75.5,2022-08-23,16.599999999999998,NY,10.758333333333333,12.234722222222222,12.407738095238093
2022-08-24,89.9,88.6,61,13.6,0.0,77.5,2022-08-24,11.641666666666666,NY,16.599999999999998,12.670833333333334,12.811904761904762
2022-08-25,93.4,89.2,60,20.5,0.0,77.9,2022-08-25,13.341666666666669,NY,11.641666666666666,13.0,12.54047619047619
2022-08-26,90.6,85.2,75,20.7,16.5,76.6,2022-08-26,15.891666666666666,NY,13.341666666666669,13.861111111111109,12.768452380952382
2022-08-27,89.6,85.6,71,13.7,0.0,77.2,2022-08-27,21.975,NY,15.891666666666666,13.625,13.454166666666667
2022-08-28,84.6,81.4,83,19.3,1.3,75.1,2022-08-28,21.325,NY,21.975,17.069444444444446,14.408928571428572
2022-08-29,89.6,83.5,83,25.5,0.2,76.5,2022-08-29,14.245833333333332,NY,21.325,19.730555555555554,15.933333333333334
2022-08-30,92.1,86.3,82,29.7,1.7,77.7,2022-08-30,8.270833333333334,NY,14.245833333333332,19.181944444444444,16.43154761904762
2022-08-31,83.5,84.2,63,22.9,0.6,76.0,2022-08-31,7.458333333333333,NY,8.270833333333334,14.613888888888889,15.241666666666665
2022-09-01,83.9,86.1,47,19.5,0.0,75.7,2022-09-01,7.070833333333333,NY,7.458333333333333,9.991666666666665,14.644047619047617
2022-09-02,79.9,77.3,64,15.6,0.0,68.9,2022-09-02,7.795833333333333,NY,7.070833333333333,7.6000000000000005,13.748214285714285
2022-09-03,83.1,79.4,74,18.4,0.0,71.6,2022-09-03,11.158333333333331,NY,7.795833333333333,7.441666666666666,12.591666666666667
2022-09-04,91.9,86.6,76,12.6,1.3,76.0,2022-09-04,14.183333333333332,NY,11.158333333333331,8.674999999999999,11.046428571428573
