time,apparent_temperature_max (°F),max_temperature,humidity,wind_speed_10m_max (km/h),precipitation_sum (mm),mean_temperature,date,pm25,city
2022-05-01,85.4,95.2,11,29.3,0.0,81.9,2022-05-01,,Phoenix
2022-05-02,88.4,92.8,16,16.5,0.0,80.1,2022-05-02,,Phoenix
2022-05-03,85.0,91.0,19,21.3,0.0,79.9,2022-05-03,,Phoenix
2022-05-04,85.0,92.3,18,20.3,0.0,79.3,2022-05-04,,Phoenix
2022-05-05,90.9,95.6,11,17.0,0.0,81.6,2022-05-05,,Phoenix
2022-05-06,93.2,99.1,10,17.1,0.0,85.3,2022-05-06,,Phoenix
2022-05-07,92.8,100.8,11,28.8,0.0,86.4,2022-05-07,,Phoenix
2022-05-08,87.1,93.7,18,35.2,0.0,83.6,2022-05-08,,Phoenix
2022-05-09,80.6,87.9,20,23.4,0.0,76.9,2022-05-09,,Phoenix
2022-05-10,85.4,90.0,15,19.9,0.0,77.9,2022-05-10,,Phoenix
2022-05-11,79.6,87.4,12,25.1,0.0,76.2,2022-05-11,,Phoenix
2022-05-12,80.9,87.0,8,21.5,0.0,72.5,2022-05-12,,Phoenix
2022-05-13,91.2,96.5,8,15.7,0.0,79.5,2022-05-13,,Phoenix
2022-05-14,99.5,103.1,7,14.8,0.0,86.6,2022-05-14,,Phoenix
2022-05-15,99.6,105.3,5,16.6,0.0,90.1,2022-05-15,,Phoenix
2022-05-16,97.3,103.2,8,21.7,0.0,90.0,2022-05-16,,Phoenix
2022-05-17,94.7,99.8,13,19.4,0.0,87.4,2022-05-17,,Phoenix
2022-05-18,94.2,98.3,16,26.1,0.0,87.3,2022-05-18,,Phoenix
2022-05-19,92.3,98.7,15,23.1,0.0,86.0,2022-05-19,,Phoenix
2022-05-20,90.2,97.3,16,33.5,0.0,83.1,2022-05-20,,Phoenix
2022-05-21,89.5,92.1,28,19.5,0.0,81.1,2022-05-21,,Phoenix
2022-05-22,90.2,95.2,17,18.4,0.0,82.4,2022-05-22,,Phoenix
2022-05-23,88.2,94.8,13,23.2,0.0,83.2,2022-05-23,,Phoenix
2022-05-24,92.6,97.4,13,24.5,0.0,85.8,2022-05-24,,Phoenix
2022-05-25,99.4,103.2,17,24.1,0.0,89.4,2022-05-25,,Phoenix
2022-05-26,100.6,104.6,12,21.4,0.0,92.3,2022-05-26,,Phoenix
2022-05-27,100.1,103.7,14,20.7,0.0,91.6,2022-05-27,,Phoenix
2022-05-28,93.8,101.5,9,24.6,0.0,88.7,2022-05-28,,Phoenix
2022-05-29,88.3,93.7,22,24.3,0.0,84.3,2022-05-29,,Phoenix
2022-05-30,87.6,94.3,21,24.1,0.0,83.5,2022-05-30,,Phoenix
2022-05-31,92.4,97.3,15,17.3,0.0,84.5,2022-05-31,,Phoenix
2022-06-01,93.7,99.5,11,17.0,0.0,87.2,2022-06-01,,Phoenix
2022-06-02,98.7,102.5,10,18.9,0.0,89.5,2022-06-02,,Phoenix
2022-06-03,96.5,102.1,13,20.1,0.0,89.5,2022-06-03,,Phoenix
2022-06-04,96.5,100.9,13,15.5,0.0,88.5,2022-06-04,,Phoenix
