time,apparent_temperature_max (°F),max_temperature,humidity,wind_speed_10m_max (km/h),precipitation_sum (mm),mean_temperature,date,pm25,city,pm25_lag_1,pm25_rolling_3,pm25_rolling_7
2022-05-01,76.4,84.0,43,19.5,0.0,65.8,2022-05-01,,Sacramento,,,
2022-05-02,73.0,78.4,47,19.8,0.0,64.4,2022-05-02,,Sacramento,,,
2022-05-03,77.9,84.6,25,26.8,0.0,68.3,2022-05-03,,Sacramento,,,
2022-05-04,87.7,90.4,39,11.8,0.0,71.1,2022-05-04,,Sacramento,,,
2022-05-05,73.0,77.8,50,17.4,0.0,66.1,2022-05-05,,Sacramento,,,
2022-05-06,75.8,78.4,61,19.1,0.0,66.3,2022-05-06,,Sacramento,,,
2022-05-07,76.4,79.3,52,20.1,0.0,63.9,2022-05-07,,Sacramento,,,
2022-05-08,59.1,67.6,34,25.0,0.6,57.8,2022-05-08,,Sacramento,,,
2022-05-09,60.0,65.1,47,22.7,2.3,53.9,2022-05-09,,Sacramento,,,
2022-05-10,62.1,64.5,60,15.2,1.7,51.8,2022-05-10,,Sacramento,,,
2022-05-11,68.5,73.5,54,17.1,0.0,57.3,2022-05-11,,Sacramento,,,
2022-05-12,69.4,74.8,48,15.2,0.0,60.5,2022-05-12,,Sacramento,,,
2022-05-13,82.4,84.5,52,11.2,0.0,66.6,2022-05-13,,Sacramento,,,
2022-05-14,90.3,94.0,44,13.2,0.0,74.7,2022-05-14,,Sacramento,,,
2022-05-15,91.8,92.3,45,23.3,0.0,74.6,2022-05-15,,Sacramento,,,
2022-05-16,85.0,84.7,55,17.2,0.0,68.2,2022-05-16,,Sacramento,,,
2022-05-17,90.3,95.1,44,13.2,0.0,72.8,2022-05-17,,Sacramento,,,
2022-05-18,96.0,101.8,33,22.0,0.0,79.9,2022-05-18,,Sacramento,,,
2022-05-19,87.1,93.8,17,25.3,0.0,82.5,2022-05-19,,Sacramento,,,
2022-05-20,74.7,85.3,15,32.8,0.0,71.9,2022-05-20,,Sacramento,,,
2022-05-21,86.3,90.1,15,13.8,0.0,74.1,2022-05-21,,Sacramento,,,
2022-05-22,89.9,93.1,32,10.3,0.0,74.8,2022-05-22,,Sacramento,,,
2022-05-23,92.6,98.0,25,16.1,0.0,79.7,2022-05-23,,Sacramento,,,
2022-05-24,96.6,102.6,19,16.7,0.0,84.9,2022-05-24,,Sacramento,,,
2022-05-25,104.2,105.0,26,20.9,0.0,84.9,2022-05-25,,Sacramento,,,
2022-05-26,76.1,80.7,55,21.6,0.0,68.2,2022-05-26,,Sacramento,,,
2022-05-27,81.2,83.1,59,22.2,0.0,67.2,2022-05-27,,Sacramento,,,
2022-05-28,77.6,80.8,56,24.4,0.0,67.0,2022-05-28,,Sacramento,,,
2022-05-29,75.6,82.6,40,20.3,0.0,67.8,2022-05-29,,Sacramento,,,
2022-05-30,77.9,84.0,26,17.1,0.0,70.7,2022-05-30,,Sacramento,,,
2022-05-31,84.8,90.6,22,22.0,0.0,74.8,2022-05-31,,Sacramento,,,
2022-06-01,92.9,95.9,32,15.7,0.0,77.3,2022-06-01,,Sacramento,,,
2022-06-02,89.6,93.0,37,21.4,0.0,76.4,2022-06-02,,Sacramento,,,
2022-06-03,86.0,87.6,52,22.3,0.0,71.4,2022-06-03,,Sacramento,,,
2022-06-04,76.3,81.1,47,18.1,1.6,68.9,2022-06-04,,Sacramento,,,
2022-06-05,79.2,79.4,76,15.0,15.6,67.7,2022-06-05,,Sacramento,,,
2022-06-06,87.8,88.8,58,12.0,0.0,72.7,2022-06-06,,Sacramento,,,
2022-06-07,94.0,94.1,51,17.2,0.0,74.7,2022-06-07,,Sacramento,,,
2022-06-08,92.5,92.2,42,15.5,0.0,75.4,2022-06-08,,Sacramento,,,
2022-06-09,101.1,103.3,41,11.7,0.0,81.5,2022-06-09,,Sacramento,,,
2022-06-10,104.7,106.6,32,15.0,0.0,88.3,2022-06-10,,Sacramento,,,
2022-06-11,101.2,101.2,35,21.3,0.0,86.5,2022-06-11,,Sacramento,,,
2022-06-12,82.0,83.3,62,24.3,14.4,73.6,2022-06-12,,Sacramento,,,
2022-06-13,78.4,86.0,26,21.1,0.0,73.5,2022-06-13,,Sacramento,,,
2022-06-14,86.7,93.7,18,20.3,0.0,77.4,2022-06-14,,Sacramento,,,
2022-06-15,95.7,98.0,23,21.5,0.0,78.7,2022-06-15,,Sacramento,,,
2022-06-16,84.9,89.0,39,23.3,0.0,71.9,2022-06-16,,Sacramento,,,
2022-06-17,70.9,75.1,46,25.4,0.0,65.0,2022-06-17,,Sacramento,,,
2022-06-18,78.5,80.6,49,13.6,0.0,66.6,2022-06-18,,Sacramento,,,
2022-06-19,84.5,88.8,37,13.1,0.0,72.8,2022-06-19,,Sacramento,,,
2022-06-20,91.9,95.6,28,14.0,0.0,78.8,2022-06-20,,Sacramento,,,
2022-06-21,104.0,106.1,17,13.0,0.0,86.9,2022-06-21,,Sacramento,,,
2022-06-22,99.3,102.9,22,17.0,0.0,85.9,2022-06-22,,Sacramento,,,
2022-06-23,99.6,101.9,31,17.6,0.0,85.5,2022-06-23,,Sacramento,,,
2022-06-24,98.2,102.7,32,18.5,0.0,83.3,2022-06-24,,Sacramento,,,
2022-06-25,100.9,102.7,36,18.0,0.0,80.8,2022-06-25,,Sacramento,,,
2022-06-26,98.8,102.7,39,16.1,0.0,80.6,2022-06-26,,Sacramento,,,
2022-06-27,99.4,102.8,40,15.9,0.0,79.9,2022-06-27,,Sacramento,,,
2022-06-28,98.3,102.4,34,18.2,0.0,80.9,2022-06-28,,Sacramento,,,
2022-06-29,92.3,94.6,47,18.4,0.0,74.6,2022-06-29,,Sacramento,,,
2022-06-30,85.4,88.2,57,17.6,0.0,69.6,2022-06-30,,Sacramento,,,
2022-07-01,88.2,91.4,55,17.4,0.0,70.6,2022-07-01,,Sacramento,,,
2022-07-02,78.9,82.0,63,23.2,0.0,66.2,2022-07-02,,Sacramento,,,
2022-07-03,76.1,79.3,59,19.1,0.0,66.2,2022-07-03,,Sacramento,,,
2022-07-04,88.0,87.5,57,16.9,0.1,71.3,2022-07-04,,Sacramento,,,
2022-07-05,86.8,86.7,59,20.7,0.5,75.1,2022-07-05,,Sacramento,,,
2022-07-06,83.7,85.8,57,18.5,0.0,71.9,2022-07-06,,Sacramento,,,
2022-07-07,88.5,90.7,52,14.7,0.0,73.2,2022-07-07,,Sacramento,,,
2022-07-08,96.7,98.3,48,18.9,0.0,77.3,2022-07-08,,Sacramento,,,
2022-07-09,92.7,93.7,52,16.0,0.0,75.4,2022-07-09,,Sacramento,,,
2022-07-10,102.6,103.3,43,13.4,0.0,81.3,2022-07-10,,Sacramento,,,
2022-07-11,105.3,105.0,36,16.5,0.0,85.6,2022-07-11,,Sacramento,,,
2022-07-12,95.9,97.6,47,20.6,0.0,78.4,2022-07-12,,Sacramento,,,
2022-07-13,90.4,93.4,50,16.3,0.0,74.6,2022-07-13,,Sacramento,,,
2022-07-14,99.6,100.2,49,17.8,0.0,77.9,2022-07-14,,Sacramento,,,
2022-07-15,98.4,100.0,45,15.6,0.0,78.2,2022-07-15,,Sacramento,,,
2022-07-16,104.0,105.9,40,15.0,0.0,82.8,2022-07-16,,Sacramento,,,
2022-07-17,100.5,104.9,37,18.1,0.0,83.7,2022-07-17,,Sacramento,,,
2022-07-18,96.4,101.8,34,19.8,0.0,82.8,2022-07-18,,Sacramento,,,
2022-07-19,97.1,101.6,36,16.3,0.0,80.9,2022-07-19,,Sacramento,,,
2022-07-20,101.0,103.6,41,16.7,0.0,79.4,2022-07-20,,Sacramento,,,
2022-07-21,98.6,101.1,45,16.9,0.0,77.3,2022-07-21,,Sacramento,,,
2022-07-22,95.7,100.4,37,16.9,0.0,79.4,2022-07-22,,Sacramento,,,
2022-07-23,97.0,99.6,44,17.1,0.0,76.6,2022-07-23,,Sacramento,,,
2022-07-24,98.5,101.7,48,18.4,0.0,76.4,2022-07-24,,Sacramento,,,
2022-07-25,93.0,96.0,54,17.4,0.0,73.1,2022-07-25,,Sacramento,,,
2022-07-26,95.3,97.3,53,18.6,0.0,74.3,2022-07-26,,Sacramento,,,
2022-07-27,96.4,98.0,50,17.9,0.0,76.0,2022-07-27,,Sacramento,,,
