time,apparent_temperature_max (°F),max_temperature,humidity,wind_speed_10m_max (km/h),precipitation_sum (mm),mean_temperature,date,pm25,city
2022-05-01,57.6,60.5,79,12.7,0.0,52.4,2022-05-01,,Seattle
2022-05-02,50.2,53.2,84,17.9,8.3,50.3,2022-05-02,,Seattle
2022-05-03,53.5,55.4,81,11.7,0.1,50.4,2022-05-03,,Seattle
2022-05-04,61.4,62.7,84,17.3,0.1,51.2,2022-05-04,,Seattle
2022-05-05,48.0,50.5,89,29.1,11.5,48.6,2022-05-05,,Seattle
2022-05-06,50.4,52.8,86,20.9,6.7,48.5,2022-05-06,,Seattle
2022-05-07,48.0,55.7,79,24.2,9.3,48.5,2022-05-07,,Seattle
2022-05-08,48.9,52.1,73,18.4,0.5,46.3,2022-05-08,,Seattle
2022-05-09,48.1,51.8,78,14.9,1.5,46.4,2022-05-09,,Seattle
2022-05-10,54.7,58.5,71,16.5,1.0,49.4,2022-05-10,,Seattle
2022-05-11,49.4,57.6,71,19.6,0.5,49.6,2022-05-11,,Seattle
2022-05-12,46.2,51.2,83,33.3,9.5,47.7,2022-05-12,,Seattle
2022-05-13,51.5,55.7,70,17.6,0.8,48.3,2022-05-13,,Seattle
2022-05-14,57.4,61.9,82,19.7,6.5,53.2,2022-05-14,,Seattle
2022-05-15,60.5,61.3,94,15.5,17.7,54.4,2022-05-15,,Seattle
2022-05-16,55.3,59.1,79,25.7,3.6,53.9,2022-05-16,,Seattle
2022-05-17,55.0,58.9,71,12.2,0.0,50.9,2022-05-17,,Seattle
2022-05-18,46.8,57.4,72,39.3,4.3,51.0,2022-05-18,,Seattle
2022-05-19,50.5,55.9,72,15.7,0.6,48.6,2022-05-19,,Seattle
2022-05-20,56.9,58.3,76,9.7,0.0,50.2,2022-05-20,,Seattle
2022-05-21,60.7,64.6,76,13.9,0.1,53.6,2022-05-21,,Seattle
2022-05-22,68.2,68.7,72,17.7,0.0,56.4,2022-05-22,,Seattle
2022-05-23,60.1,63.4,77,15.6,1.3,56.3,2022-05-23,,Seattle
2022-05-24,54.5,58.0,83,14.5,1.6,53.9,2022-05-24,,Seattle
2022-05-25,64.0,68.0,78,25.9,0.8,57.7,2022-05-25,,Seattle
2022-05-26,66.3,64.8,90,15.3,7.0,55.6,2022-05-26,,Seattle
2022-05-27,55.1,60.1,77,28.7,1.6,55.3,2022-05-27,,Seattle
2022-05-28,51.7,54.1,89,16.9,6.4,51.1,2022-05-28,,Seattle
2022-05-29,56.8,59.4,85,16.3,9.8,52.2,2022-05-29,,Seattle
2022-05-30,55.3,58.4,76,13.3,0.7,52.5,2022-05-30,,Seattle
2022-05-31,62.6,65.5,80,21.7,7.8,55.6,2022-05-31,,Seattle
2022-06-01,67.4,66.5,83,14.5,0.0,57.6,2022-06-01,,Seattle
2022-06-02,71.2,70.1,86,9.2,0.3,60.7,2022-06-02,,Seattle
2022-06-03,60.5,63.3,88,19.3,11.4,58.3,2022-06-03,,Seattle
2022-06-04,65.8,64.4,89,11.3,14.3,58.4,2022-06-04,,Seattle
2022-06-05,60.5,64.3,83,28.3,6.3,58.5,2022-06-05,,Seattle
2022-06-06,61.2,62.9,77,13.2,0.3,55.8,2022-06-06,,Seattle
2022-06-07,69.6,69.1,79,14.7,0.6,59.1,2022-06-07,,Seattle
2022-06-08,67.2,68.4,73,18.4,0.2,60.2,2022-06-08,,Seattle
2022-06-09,58.7,58.3,91,19.9,23.6,55.6,2022-06-09,,Seattle
2022-06-10,64.6,67.0,87,23.5,5.0,60.7,2022-06-10,,Seattle
2022-06-11,67.2,68.5,78,17.2,0.9,59.6,2022-06-11,,Seattle
2022-06-12,55.7,57.4,79,16.2,3.6,54.8,2022-06-12,,Seattle
2022-06-13,60.5,60.5,73,26.1,2.9,54.9,2022-06-13,,Seattle
2022-06-14,59.9,62.3,73,16.6,2.6,55.2,2022-06-14,,Seattle
2022-06-15,57.3,58.5,79,9.4,0.5,54.8,2022-06-15,,Seattle
2022-06-16,65.4,66.4,77,18.8,0.7,58.6,2022-06-16,,Seattle
2022-06-17,58.4,58.9,84,21.4,2.2,55.8,2022-06-17,,Seattle
2022-06-18,59.5,62.2,79,16.2,0.0,56.8,2022-06-18,,Seattle
2022-06-19,63.9,64.2,78,15.8,0.1,57.6,2022-06-19,,Seattle
2022-06-20,63.8,63.8,78,10.1,0.4,58.2,2022-06-20,,Seattle
2022-06-21,73.8,71.8,81,15.4,0.0,61.5,2022-06-21,,Seattle
2022-06-22,62.2,62.9,84,16.0,1.1,58.9,2022-06-22,,Seattle
2022-06-23,64.1,66.1,67,17.5,0.6,58.6,2022-06-23,,Seattle
2022-06-24,68.7,71.8,68,20.7,0.0,60.8,2022-06-24,,Seattle
2022-06-25,76.3,76.7,66,26.1,0.0,66.1,2022-06-25,,Seattle
2022-06-26,80.5,79.2,64,22.1,0.0,68.9,2022-06-26,,Seattle
2022-06-27,91.2,88.6,66,23.5,0.0,70.7,2022-06-27,,Seattle
2022-06-28,59.6,64.5,75,26.9,0.6,60.1,2022-06-28,,Seattle
2022-06-29,66.1,66.3,72,22.9,0.0,61.0,2022-06-29,,Seattle
2022-06-30,69.8,70.9,73,15.8,0.0,62.4,2022-06-30,,Seattle
2022-07-01,75.7,73.2,75,17.8,0.0,63.1,2022-07-01,,Seattle
2022-07-02,68.7,67.2,77,12.4,0.0,61.7,2022-07-02,,Seattle
2022-07-03,63.7,62.4,84,16.7,5.9,58.5,2022-07-03,,Seattle
2022-07-04,67.7,67.7,78,19.5,0.0,59.8,2022-07-04,,Seattle
2022-07-05,71.6,70.4,82,15.6,0.0,61.3,2022-07-05,,Seattle
2022-07-06,76.0,72.5,83,12.8,1.3,65.3,2022-07-06,,Seattle
2022-07-07,72.5,70.9,79,11.9,0.0,64.6,2022-07-07,,Seattle
