City,Model,R2,RMSE,MAE,Rows
Phoenix,Weather + Season + Lag,0.6723886196589819,3.4165151225865045,2.3012035824787165,1154
Seattle,Weather + Season + Lag,0.5808207169973774,4.568299629442572,3.1432622016511336,1154
Sacramento,Weather + Season + Lag,0.5698356791812283,3.1308472722687752,2.2515218071106418,1154
LA,Weather + Season + Lag,0.5245868287747802,10.854580469267173,5.73582894594427,1154
Houston,Weather + Season + Lag,0.3790017985988342,3.3640901514387647,2.4645544591767967,1154
NY,Weather + Season + Lag,0.373230121331697,6.6825408364357095,4.544796252808816,1154
Phoenix,Weather Only,0.3101504220028021,4.844044440338878,3.0811648105497627,1155
Phoenix,Weather + Season,0.30118828401163533,4.875408454542246,3.1135169703861387,1155
Sacramento,Weather + Season,0.21632287967649932,3.8206926610086582,2.866846447439405,1155
NY,Weather + Season,0.20880406435268728,7.225161794415176,4.761854117990963,1155
Sacramento,Weather Only,0.18676076644841133,3.8920882729812525,2.982801086513744,1155
NY,Weather Only,0.18508539471848973,7.332660938209006,4.975431853460122,1155
Houston,Weather + Season,0.17909506139742581,3.7241180061770844,2.8431480530162587,1155
Houston,Weather Only,0.1451359894866655,3.8003668112438445,2.925664086308665,1155
LA,Weather + Season,0.13751809049863317,13.23355704583691,7.965746233895681,1155
Seattle,Weather + Season,0.10788707460557911,10.382748764109982,3.8779839457420904,1155
Seattle,Weather Only,0.0829944876332136,10.526606838735017,4.002493183692331,1155
LA,Weather Only,0.06273929405382739,13.795320716496635,8.422705840949007,1155
