latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
29.771528,-95.33099,20.0,-18000,America/Chicago,GMT-5

time,apparent_temperature_max (°F),temperature_2m_max (°F),relative_humidity_2m_mean (%),wind_speed_10m_max (km/h),precipitation_sum (mm),temperature_2m_mean (°F)
2022-05-01,88.5,83.2,84,19.2,1.80,76.0
2022-05-02,88.4,86.6,77,33.2,0.50,78.2
2022-05-03,89.3,85.5,80,23.8,4.60,77.9
2022-05-04,89.0,86.9,79,33.2,2.00,79.2
2022-05-05,89.0,88.3,80,34.6,9.30,78.7
2022-05-06,98.2,90.2,78,20.4,0.00,77.3
2022-05-07,101.9,93.7,76,19.5,0.00,81.9
2022-05-08,98.0,92.4,74,26.4,0.00,82.5
2022-05-09,96.2,92.5,74,28.7,0.00,83.0
2022-05-10,93.2,88.7,72,26.7,0.00,82.0
2022-05-11,92.7,88.1,76,22.9,0.00,80.1
2022-05-12,93.1,88.8,73,21.3,0.00,78.0
2022-05-13,97.9,93.0,70,22.0,0.00,79.6
2022-05-14,96.6,91.1,69,20.2,2.40,79.7
2022-05-15,98.3,92.8,68,20.5,0.20,80.7
2022-05-16,103.1,93.9,66,20.5,0.00,82.4
2022-05-17,99.5,93.8,71,23.7,0.00,81.5
2022-05-18,96.0,94.1,67,25.6,0.00,82.6
2022-05-19,94.3,91.4,69,30.4,0.00,82.2
2022-05-20,93.5,93.1,70,34.7,0.00,83.7
2022-05-21,96.5,92.1,76,27.9,16.50,82.7
2022-05-22,91.2,85.0,76,22.8,1.60,76.5
2022-05-23,85.6,82.3,77,16.1,0.30,74.5
2022-05-24,84.3,80.1,87,23.9,26.30,74.3
2022-05-25,84.7,82.0,76,26.6,19.00,73.8
2022-05-26,92.2,88.9,63,16.2,0.00,76.3
2022-05-27,97.7,91.7,70,15.9,0.00,79.9
2022-05-28,100.9,92.8,72,23.4,0.10,78.9
2022-05-29,93.7,90.3,74,27.1,0.00,80.9
