latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
34.059753,-118.2375,91.0,-25200,America/Los_Angeles,GMT-7

time,apparent_temperature_max (°F),temperature_2m_max (°F),relative_humidity_2m_mean (%),wind_speed_10m_max (km/h),precipitation_sum (mm),temperature_2m_mean (°F)
2022-05-01,75.0,74.7,71,16.5,0.00,63.5
2022-05-02,76.2,75.4,68,19.7,0.00,63.9
2022-05-03,77.1,75.9,68,20.1,0.00,64.3
2022-05-04,82.3,81.1,71,19.1,0.00,65.0
2022-05-05,80.8,80.3,70,18.5,0.00,65.7
2022-05-06,83.7,83.6,63,19.1,0.00,66.8
2022-05-07,79.3,78.6,69,19.5,0.00,65.8
2022-05-08,70.3,71.8,67,19.4,0.30,62.9
2022-05-09,70.6,72.0,59,21.5,0.40,61.0
2022-05-10,69.2,72.3,52,26.2,0.00,60.1
2022-05-11,66.8,73.0,41,26.7,0.00,61.2
2022-05-12,77.0,82.0,24,23.4,0.00,66.4
2022-05-13,90.3,91.7,25,20.6,0.00,72.4
2022-05-14,92.0,94.4,26,21.5,0.00,77.0
2022-05-15,88.3,89.2,47,25.5,0.00,70.6
2022-05-16,76.9,77.8,69,19.7,0.00,65.0
2022-05-17,76.1,75.2,72,17.1,0.00,64.2
2022-05-18,79.6,78.4,70,17.9,0.00,65.1
2022-05-19,77.9,76.7,75,16.9,0.30,63.7
2022-05-20,66.8,69.0,72,14.9,1.20,62.9
2022-05-21,73.4,73.9,70,19.5,0.80,64.3
2022-05-22,74.7,73.9,72,20.0,0.00,62.5
2022-05-23,77.7,76.0,75,18.2,0.00,61.9
2022-05-24,80.4,79.4,73,17.9,0.00,64.9
2022-05-25,81.6,79.5,76,17.1,0.00,65.8
2022-05-26,78.8,77.2,73,20.0,0.00,65.2
2022-05-27,76.6,75.3,72,20.1,0.00,63.5
2022-05-28,69.4,70.7,73,17.3,0.00,62.7
2022-05-29,76.3,76.6,66,19.4,0.00,65.6
2022-05-30,75.0,79.5,64,28.0,0.00,65.9
2022-05-31,81.1,80.5,63,20.1,0.00,67.0
2022-06-01,89.8,87.2,63,22.2,0.00,69.5
2022-06-02,87.2,85.1,74,20.6,0.00,68.0
2022-06-03,80.8,79.2,73,20.2,0.00,65.8
2022-06-04,82.0,80.2,70,19.2,0.00,67.0
2022-06-05,81.4,80.4,67,17.8,0.00,69.0
2022-06-06,85.6,83.0,71,18.8,0.00,70.3
2022-06-07,86.6,83.7,71,19.0,0.00,71.0
2022-06-08,88.5,85.3,73,19.4,0.00,70.6
2022-06-09,90.7,88.2,72,19.1,0.00,71.0
2022-06-10,92.1,89.2,72,19.4,0.00,72.2
2022-06-11,85.2,83.7,69,20.2,0.00,71.1
2022-06-12,85.5,83.0,71,18.3,0.00,69.9
2022-06-13,87.0,82.9,70,20.4,0.00,69.9
2022-06-14,86.7,83.5,69,20.5,0.10,71.1
2022-06-15,91.2,88.0,73,20.0,0.00,71.1
2022-06-16,90.4,86.6,73,19.1,0.00,70.7
2022-06-17,81.9,80.1,65,19.9,0.00,68.7
2022-06-18,79.6,79.3,63,20.8,0.00,67.7
2022-06-19,78.8,82.6,57,29.6,0.00,69.5
2022-06-20,93.4,95.4,35,23.4,0.00,77.0
2022-06-21,89.0,91.0,55,17.3,0.00,74.1
2022-06-22,96.2,88.0,73,20.6,37.10,73.6
2022-06-23,89.5,84.3,72,18.0,0.00,72.1
2022-06-24,89.3,85.1,70,16.9,0.00,70.5
2022-06-25,88.1,85.3,74,17.7,0.00,69.3
2022-06-26,91.9,89.6,69,18.1,0.00,71.3
2022-06-27,96.7,93.4,63,16.9,0.00,74.8
2022-06-28,94.7,93.1,56,17.1,0.00,76.6
2022-06-29,92.3,92.1,57,16.1,0.00,75.6
2022-06-30,91.9,89.1,64,18.8,0.00,73.9
2022-07-01,90.6,88.3,65,17.2,0.00,72.5
2022-07-02,84.7,83.0,66,17.8,0.00,70.5
2022-07-03,82.7,80.6,69,18.8,0.00,68.9
2022-07-04,82.6,80.9,67,18.4,0.00,69.0
2022-07-05,83.6,81.9,69,21.5,0.00,69.9
2022-07-06,85.4,82.6,71,22.5,0.00,70.6
2022-07-07,88.8,86.8,69,20.5,0.00,71.4
2022-07-08,87.9,85.4,71,20.2,0.00,70.6
2022-07-09,86.3,85.1,69,21.4,0.00,71.7
2022-07-10,92.6,89.9,67,18.9,0.00,72.8
2022-07-11,86.6,83.7,72,17.9,0.00,69.7
2022-07-12,81.0,80.0,72,17.1,0.00,68.4
2022-07-13,82.6,81.9,71,19.8,0.00,68.8
2022-07-14,84.0,82.0,70,18.6,0.00,70.1
2022-07-15,91.1,87.4,70,18.8,0.00,72.5
2022-07-16,96.1,92.7,66,19.9,0.00,74.5
2022-07-17,94.8,92.6,64,19.5,0.00,75.2
2022-07-18,93.6,90.8,63,20.4,0.00,75.6
2022-07-19,89.1,91.0,59,18.0,0.00,75.6
2022-07-20,92.6,91.8,58,21.7,0.00,75.2
2022-07-21,92.4,90.8,56,17.8,0.00,74.8
2022-07-22,91.3,88.3,64,16.1,0.00,72.7
2022-07-23,89.3,85.6,72,19.2,0.00,71.2
2022-07-24,87.8,84.2,73,18.7,0.00,71.1
2022-07-25,89.6,85.6,73,19.6,0.00,71.7
2022-07-26,86.9,83.5,72,17.3,0.00,71.2
2022-07-27,85.6,83.6,71,17.4,0.00,70.6
2022-07-28,87.3,87.0,62,16.0,0.00,73.0
2022-07-29,89.8,87.0,64,17.4,0.00,74.3
2022-07-30,91.2,89.1,63,19.9,0.00,75.3
2022-07-31,90.5,89.0,53,19.4,1.40,76.9
2022-08-01,89.3,87.2,65,19.5,0.00,75.4
2022-08-02,87.1,85.3,70,21.5,0.00,73.3
2022-08-03,91.6,89.9,65,17.6,0.00,73.9
2022-08-04,89.6,87.2,67,19.2,0.00,74.9
2022-08-05,91.6,89.2,60,21.6,0.00,76.4
2022-08-06,94.0,92.1,63,23.2,0.00,76.2
2022-08-07,98.3,97.3,56,19.5,0.00,78.5
2022-08-08,95.5,93.3,59,15.1,0.00,78.1
2022-08-09,94.6,93.5,50,17.6,0.00,79.5
2022-08-10,96.8,94.6,50,20.0,0.00,80.1
2022-08-11,93.1,93.9,52,21.3,0.00,77.8
2022-08-12,93.0,93.4,56,20.7,0.00,77.3
2022-08-13,96.3,94.5,53,18.4,0.00,79.3
2022-08-14,95.6,93.7,57,20.4,0.00,77.5
2022-08-15,95.0,91.8,60,17.6,0.00,76.5
2022-08-16,94.2,92.3,58,19.9,0.00,76.7
2022-08-17,91.8,90.8,59,18.2,0.00,76.5
2022-08-18,89.4,87.6,59,19.4,0.00,73.6
2022-08-19,91.2,88.9,61,18.8,0.00,73.8
2022-08-20,89.0,85.8,72,16.6,0.00,73.9
2022-08-21,88.6,84.1,74,15.3,0.00,72.9
2022-08-22,89.9,86.2,73,16.6,0.00,72.5
2022-08-23,92.7,89.8,72,18.3,0.00,73.2
2022-08-24,94.1,90.0,69,17.3,0.00,76.0
2022-08-25,93.6,90.7,64,16.5,0.00,76.5
2022-08-26,89.2,86.0,72,18.6,0.00,73.4
2022-08-27,87.0,83.3,72,16.6,0.00,72.3
2022-08-28,85.7,82.9,71,16.8,0.00,72.1
2022-08-29,85.6,83.8,71,19.7,0.00,71.6
2022-08-30,91.7,93.1,57,18.7,0.00,75.9
2022-08-31,99.8,103.0,41,18.7,0.00,83.7
2022-09-01,101.4,99.9,41,15.9,0.00,85.1
2022-09-02,102.1,100.2,50,17.7,0.00,84.1
2022-09-03,104.5,101.2,50,20.1,0.00,85.5
2022-09-04,112.3,109.5,41,24.8,0.00,91.2
2022-09-05,105.7,99.9,58,19.3,0.00,85.3
2022-09-06,102.1,99.1,63,16.1,0.00,82.0
2022-09-07,105.7,102.4,54,19.5,0.00,84.7
2022-09-08,103.0,101.1,49,16.9,0.00,86.7
2022-09-09,102.8,103.9,53,28.1,18.90,85.7
2022-09-10,86.2,80.6,84,12.8,2.80,75.7
2022-09-11,93.0,84.4,84,17.4,5.90,76.3
2022-09-12,87.0,81.5,85,17.2,3.00,75.0
2022-09-13,87.7,82.0,81,13.9,0.30,73.8
2022-09-14,84.1,81.1,80,15.4,0.00,71.3
2022-09-15,84.2,80.8,78,16.3,0.10,70.7
2022-09-16,85.7,82.2,77,20.5,0.00,70.5
2022-09-17,83.5,82.1,75,17.5,0.00,70.4
2022-09-18,77.0,77.1,69,16.3,0.10,69.8
2022-09-19,82.2,81.1,71,22.1,0.00,69.9
2022-09-20,83.6,81.7,66,20.6,0.00,72.1
2022-09-21,82.3,83.1,64,21.7,0.00,71.6
2022-09-22,88.0,88.6,54,19.7,0.00,73.0
2022-09-23,91.7,93.3,50,18.5,0.00,76.0
2022-09-24,89.0,92.6,58,20.4,0.00,76.9
2022-09-25,91.8,92.6,60,19.8,0.00,76.0
2022-09-26,93.5,92.7,62,18.0,0.00,76.2
2022-09-27,97.5,95.5,59,18.1,0.00,77.8
2022-09-28,98.4,96.2,61,18.1,0.00,77.9
2022-09-29,93.2,89.9,76,18.4,0.00,73.8
2022-09-30,84.1,82.1,79,14.8,0.00,69.6
2022-10-01,80.3,79.9,76,16.3,0.00,67.6
2022-10-02,81.5,80.4,76,16.6,0.00,68.5
2022-10-03,84.2,82.2,79,16.8,0.00,68.8
2022-10-04,89.3,86.6,79,16.0,0.00,70.7
2022-10-05,88.6,85.2,82,16.9,0.00,70.4
2022-10-06,86.6,84.4,80,17.7,0.00,70.2
2022-10-07,87.9,84.6,78,15.1,0.00,70.5
2022-10-08,88.6,85.9,76,15.8,0.00,71.1
2022-10-09,85.9,84.1,79,16.3,0.00,69.8
2022-10-10,83.2,80.8,81,16.5,0.00,68.0
2022-10-11,82.8,81.2,80,17.2,0.00,68.3
2022-10-12,81.5,79.7,79,17.4,0.10,69.1
2022-10-13,80.6,79.6,80,16.9,0.00,68.1
2022-10-14,79.9,78.8,78,17.6,0.00,67.4
2022-10-15,75.3,74.6,74,9.5,1.20,67.3
2022-10-16,75.9,76.2,78,18.4,0.00,66.3
2022-10-17,83.0,81.2,76,15.7,0.00,67.2
2022-10-18,89.2,91.2,59,15.8,0.00,73.5
2022-10-19,92.8,95.9,29,21.4,0.00,79.4
2022-10-20,87.4,91.1,36,19.5,0.00,77.6
2022-10-21,82.9,82.5,74,13.3,0.00,69.1
2022-10-22,68.4,70.4,77,16.6,1.20,65.3
2022-10-23,71.3,77.8,65,25.5,0.10,63.5
2022-10-24,70.1,76.4,35,14.4,0.00,61.7
2022-10-25,74.3,80.4,29,16.5,0.00,64.9
2022-10-26,71.9,75.0,63,17.4,0.00,62.8
2022-10-27,75.8,77.5,68,14.7,0.00,64.8
2022-10-28,75.6,79.3,52,16.3,0.00,65.1
2022-10-29,75.6,80.2,45,16.8,0.00,64.5
2022-10-30,77.4,82.4,29,15.5,0.00,67.1
2022-10-31,78.1,81.2,37,14.3,0.00,67.4
2022-11-01,69.8,73.0,76,18.7,0.00,64.8
2022-11-02,64.2,70.2,60,19.7,11.70,61.6
2022-11-03,54.3,65.9,40,31.4,0.00,56.7
2022-11-04,63.9,70.4,40,15.5,0.00,56.3
2022-11-05,67.0,73.2,44,13.9,0.00,59.0
2022-11-06,68.0,71.0,61,13.4,0.00,59.9
2022-11-07,62.8,63.0,88,18.5,5.60,59.8
