latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
38.629173,-121.46939,22.0,-25200,America/Los_Angeles,GMT-7

time,apparent_temperature_max (°F),temperature_2m_max (°F),relative_humidity_2m_mean (%),wind_speed_10m_max (km/h),precipitation_sum (mm),temperature_2m_mean (°F)
2022-05-01,76.4,84.0,43,19.5,0.00,65.8
2022-05-02,73.0,78.4,47,19.8,0.00,64.4
2022-05-03,77.9,84.6,25,26.8,0.00,68.3
2022-05-04,87.7,90.4,39,11.8,0.00,71.1
2022-05-05,73.0,77.8,50,17.4,0.00,66.1
2022-05-06,75.8,78.4,61,19.1,0.00,66.3
2022-05-07,76.4,79.3,52,20.1,0.00,63.9
2022-05-08,59.1,67.6,34,25.0,0.60,57.8
2022-05-09,60.0,65.1,47,22.7,2.30,53.9
2022-05-10,62.1,64.5,60,15.2,1.70,51.8
2022-05-11,68.5,73.5,54,17.1,0.00,57.3
2022-05-12,69.4,74.8,48,15.2,0.00,60.5
2022-05-13,82.4,84.5,52,11.2,0.00,66.6
2022-05-14,90.3,94.0,44,13.2,0.00,74.7
2022-05-15,91.8,92.3,45,23.3,0.00,74.6
2022-05-16,85.0,84.7,55,17.2,0.00,68.2
2022-05-17,90.3,95.1,44,13.2,0.00,72.8
2022-05-18,96.0,101.8,33,22.0,0.00,79.9
2022-05-19,87.1,93.8,17,25.3,0.00,82.5
2022-05-20,74.7,85.3,15,32.8,0.00,71.9
2022-05-21,86.3,90.1,15,13.8,0.00,74.1
2022-05-22,89.9,93.1,32,10.3,0.00,74.8
2022-05-23,92.6,98.0,25,16.1,0.00,79.7
2022-05-24,96.6,102.6,19,16.7,0.00,84.9
2022-05-25,104.2,105.0,26,20.9,0.00,84.9
2022-05-26,76.1,80.7,55,21.6,0.00,68.2
2022-05-27,81.2,83.1,59,22.2,0.00,67.2
2022-05-28,77.6,80.8,56,24.4,0.00,67.0
2022-05-29,75.6,82.6,40,20.3,0.00,67.8
2022-05-30,77.9,84.0,26,17.1,0.00,70.7
2022-05-31,84.8,90.6,22,22.0,0.00,74.8
2022-06-01,92.9,95.9,32,15.7,0.00,77.3
2022-06-02,89.6,93.0,37,21.4,0.00,76.4
2022-06-03,86.0,87.6,52,22.3,0.00,71.4
2022-06-04,76.3,81.1,47,18.1,1.60,68.9
2022-06-05,79.2,79.4,76,15.0,15.60,67.7
2022-06-06,87.8,88.8,58,12.0,0.00,72.7
2022-06-07,94.0,94.1,51,17.2,0.00,74.7
2022-06-08,92.5,92.2,42,15.5,0.00,75.4
2022-06-09,101.1,103.3,41,11.7,0.00,81.5
2022-06-10,104.7,106.6,32,15.0,0.00,88.3
2022-06-11,101.2,101.2,35,21.3,0.00,86.5
2022-06-12,82.0,83.3,62,24.3,14.40,73.6
2022-06-13,78.4,86.0,26,21.1,0.00,73.5
2022-06-14,86.7,93.7,18,20.3,0.00,77.4
2022-06-15,95.7,98.0,23,21.5,0.00,78.7
2022-06-16,84.9,89.0,39,23.3,0.00,71.9
2022-06-17,70.9,75.1,46,25.4,0.00,65.0
2022-06-18,78.5,80.6,49,13.6,0.00,66.6
2022-06-19,84.5,88.8,37,13.1,0.00,72.8
2022-06-20,91.9,95.6,28,14.0,0.00,78.8
2022-06-21,104.0,106.1,17,13.0,0.00,86.9
2022-06-22,99.3,102.9,22,17.0,0.00,85.9
2022-06-23,99.6,101.9,31,17.6,0.00,85.5
2022-06-24,98.2,102.7,32,18.5,0.00,83.3
2022-06-25,100.9,102.7,36,18.0,0.00,80.8
2022-06-26,98.8,102.7,39,16.1,0.00,80.6
2022-06-27,99.4,102.8,40,15.9,0.00,79.9
2022-06-28,98.3,102.4,34,18.2,0.00,80.9
2022-06-29,92.3,94.6,47,18.4,0.00,74.6
2022-06-30,85.4,88.2,57,17.6,0.00,69.6
2022-07-01,88.2,91.4,55,17.4,0.00,70.6
2022-07-02,78.9,82.0,63,23.2,0.00,66.2
2022-07-03,76.1,79.3,59,19.1,0.00,66.2
2022-07-04,88.0,87.5,57,16.9,0.10,71.3
2022-07-05,86.8,86.7,59,20.7,0.50,75.1
2022-07-06,83.7,85.8,57,18.5,0.00,71.9
2022-07-07,88.5,90.7,52,14.7,0.00,73.2
2022-07-08,96.7,98.3,48,18.9,0.00,77.3
2022-07-09,92.7,93.7,52,16.0,0.00,75.4
2022-07-10,102.6,103.3,43,13.4,0.00,81.3
2022-07-11,105.3,105.0,36,16.5,0.00,85.6
2022-07-12,95.9,97.6,47,20.6,0.00,78.4
2022-07-13,90.4,93.4,50,16.3,0.00,74.6
2022-07-14,99.6,100.2,49,17.8,0.00,77.9
2022-07-15,98.4,100.0,45,15.6,0.00,78.2
2022-07-16,104.0,105.9,40,15.0,0.00,82.8
2022-07-17,100.5,104.9,37,18.1,0.00,83.7
2022-07-18,96.4,101.8,34,19.8,0.00,82.8
2022-07-19,97.1,101.6,36,16.3,0.00,80.9
2022-07-20,101.0,103.6,41,16.7,0.00,79.4
2022-07-21,98.6,101.1,45,16.9,0.00,77.3
2022-07-22,95.7,100.4,37,16.9,0.00,79.4
2022-07-23,97.0,99.6,44,17.1,0.00,76.6
2022-07-24,98.5,101.7,48,18.4,0.00,76.4
2022-07-25,93.0,96.0,54,17.4,0.00,73.1
2022-07-26,95.3,97.3,53,18.6,0.00,74.3
2022-07-27,96.4,98.0,50,17.9,0.00,76.0
2022-07-28,97.8,98.0,53,19.5,0.00,75.2
2022-07-29,97.5,96.8,58,18.5,0.00,74.4
2022-07-30,94.0,93.0,58,20.1,0.00,73.6
2022-07-31,92.2,92.9,56,18.2,0.00,74.8
2022-08-01,91.5,89.7,54,13.6,0.60,76.0
2022-08-02,103.4,102.3,45,18.2,0.00,85.6
2022-08-03,103.5,103.4,41,17.2,0.00,83.7
2022-08-04,98.6,101.0,42,20.3,0.00,81.3
2022-08-05,90.2,89.9,54,18.1,0.80,75.0
2022-08-06,92.5,92.8,53,16.1,0.00,75.8
2022-08-07,94.6,94.7,52,17.9,0.00,75.4
2022-08-08,92.6,94.7,52,15.6,0.00,75.5
2022-08-09,88.9,91.7,51,18.7,0.00,75.1
2022-08-10,91.6,93.2,52,14.6,0.00,75.2
2022-08-11,93.2,95.5,53,16.9,0.00,76.1
2022-08-12,94.1,96.7,49,15.8,0.00,76.5
2022-08-13,99.1,100.3,46,15.6,0.00,78.1
2022-08-14,99.9,102.7,44,14.8,0.00,79.9
2022-08-15,103.9,104.7,39,15.6,0.00,83.5
2022-08-16,106.9,109.2,30,9.4,0.00,87.6
2022-08-17,105.7,107.2,31,14.8,0.00,87.1
2022-08-18,102.6,104.8,40,16.8,0.00,82.9
2022-08-19,103.1,104.2,46,15.4,0.00,80.6
2022-08-20,105.6,107.0,45,15.6,0.00,82.6
2022-08-21,89.1,94.2,50,19.2,0.00,75.2
2022-08-22,101.5,100.4,54,15.6,0.00,77.2
2022-08-23,104.2,103.1,50,16.1,0.00,82.1
2022-08-24,96.6,99.9,47,15.7,0.00,80.2
2022-08-25,90.2,94.6,59,15.5,0.00,73.9
2022-08-26,96.3,97.4,56,15.2,0.00,75.1
2022-08-27,91.6,94.2,58,16.4,0.00,73.9
2022-08-28,91.1,93.2,58,17.7,0.00,72.6
2022-08-29,93.0,96.0,49,18.0,0.00,74.9
2022-08-30,96.6,97.8,47,16.1,0.00,77.2
2022-08-31,100.4,101.7,43,12.6,0.00,78.3
2022-09-01,105.3,107.3,33,9.6,0.00,83.4
2022-09-02,102.6,106.4,30,15.0,0.00,84.1
2022-09-03,102.0,104.4,34,13.4,0.00,83.2
2022-09-04,105.7,108.4,30,11.8,0.00,86.3
2022-09-05,110.3,116.5,20,16.1,0.00,93.1
2022-09-06,115.3,117.3,19,17.0,0.00,95.2
2022-09-07,106.0,109.5,24,14.9,0.00,91.6
2022-09-08,109.5,112.9,21,11.5,0.00,92.1
2022-09-09,110.3,112.3,25,16.6,0.00,91.1
2022-09-10,85.1,90.1,46,25.6,0.00,77.3
2022-09-11,92.3,95.5,39,11.4,0.00,80.8
2022-09-12,90.7,93.7,45,18.1,0.00,78.8
2022-09-13,79.6,82.5,59,20.7,0.00,69.6
2022-09-14,78.9,80.9,62,18.0,0.00,68.0
2022-09-15,79.7,81.6,62,12.0,0.00,68.4
2022-09-16,85.6,86.5,60,14.2,0.00,70.0
2022-09-17,76.2,80.2,63,21.7,0.00,67.0
2022-09-18,70.1,76.7,70,29.4,20.20,65.4
2022-09-19,75.7,73.4,84,10.2,32.60,63.9
2022-09-20,77.3,75.0,75,7.7,0.30,65.8
2022-09-21,76.4,76.6,70,18.6,7.60,65.8
2022-09-22,79.4,82.1,64,14.5,0.00,68.1
2022-09-23,88.1,86.6,62,9.0,0.00,70.6
2022-09-24,92.2,93.6,54,12.2,0.00,74.7
2022-09-25,93.6,94.0,55,11.6,0.00,74.6
2022-09-26,91.7,92.1,60,14.2,0.00,72.3
2022-09-27,84.1,87.1,56,12.0,0.00,68.8
2022-09-28,84.8,88.1,60,12.2,0.00,69.9
2022-09-29,87.0,88.0,61,9.9,0.00,71.9
2022-09-30,88.1,90.7,46,8.2,0.00,73.6
2022-10-01,86.8,88.2,61,16.3,0.00,69.6
2022-10-02,84.3,84.9,63,12.8,0.00,68.3
2022-10-03,87.7,88.9,58,13.9,0.00,70.0
2022-10-04,88.0,88.3,63,10.0,0.00,70.4
2022-10-05,91.0,90.7,59,7.1,0.00,72.5
2022-10-06,92.9,93.1,56,10.1,0.00,73.9
2022-10-07,91.7,95.8,54,10.2,0.00,74.3
2022-10-08,92.0,94.3,54,10.5,0.00,74.2
2022-10-09,89.0,91.2,58,10.6,0.00,70.7
2022-10-10,89.6,93.0,55,11.4,0.00,71.6
2022-10-11,86.3,88.3,56,12.3,0.00,68.9
2022-10-12,84.8,86.5,61,13.8,0.00,67.4
2022-10-13,81.5,82.7,68,13.5,0.00,64.8
2022-10-14,84.2,85.6,66,11.4,0.00,66.4
2022-10-15,79.9,81.0,73,17.6,0.00,63.8
2022-10-16,74.9,76.7,69,13.0,0.00,64.8
2022-10-17,76.6,77.2,70,8.3,0.00,63.6
2022-10-18,82.5,85.7,56,9.5,0.00,68.8
2022-10-19,83.4,86.1,42,10.5,0.00,68.7
2022-10-20,83.5,85.9,43,9.6,0.00,69.2
2022-10-21,77.8,81.7,64,18.2,0.00,64.4
2022-10-22,65.8,74.3,49,25.6,0.00,64.3
2022-10-23,59.7,71.2,31,25.8,0.00,61.5
2022-10-24,67.9,73.9,29,15.6,0.00,60.3
2022-10-25,69.7,73.0,47,9.7,0.00,60.7
2022-10-26,63.9,71.6,53,16.1,0.00,58.0
2022-10-27,67.1,71.7,39,10.4,0.00,57.5
2022-10-28,67.6,72.2,48,8.5,0.00,58.0
2022-10-29,70.5,76.4,56,8.4,0.00,58.8
2022-10-30,72.2,75.0,69,9.9,0.00,57.8
2022-10-31,69.0,70.9,69,11.2,0.00,58.6
2022-11-01,55.8,60.1,83,22.1,7.20,54.2
2022-11-02,54.6,59.4,79,15.2,2.80,50.0
2022-11-03,52.1,62.2,64,18.7,0.00,48.0
2022-11-04,58.0,62.8,55,10.0,0.00,50.6
2022-11-05,57.4,60.2,76,15.7,0.30,55.1
2022-11-06,56.5,64.1,71,21.3,0.00,56.5
2022-11-07,53.7,60.4,75,26.0,7.60,52.2
2022-11-08,46.9,51.1,87,23.9,28.00,47.9
2022-11-09,52.7,56.4,84,14.2,0.70,47.8
2022-11-10,53.8,59.2,82,11.5,0.00,46.3
2022-11-11,54.4,57.4,77,7.8,0.00,46.3
2022-11-12,55.1,58.8,80,10.4,2.30,48.8
2022-11-13,53.3,60.1,68,18.8,0.00,47.8
