latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
47.627415,-122.32291,59.0,-25200,America/Los_Angeles,GMT-7

time,apparent_temperature_max (°F),temperature_2m_max (°F),relative_humidity_2m_mean (%),wind_speed_10m_max (km/h),precipitation_sum (mm),temperature_2m_mean (°F)
2022-05-01,57.6,60.5,79,12.7,0.00,52.4
2022-05-02,50.2,53.2,84,17.9,8.30,50.3
2022-05-03,53.5,55.4,81,11.7,0.10,50.4
2022-05-04,61.4,62.7,84,17.3,0.10,51.2
2022-05-05,48.0,50.5,89,29.1,11.50,48.6
2022-05-06,50.4,52.8,86,20.9,6.70,48.5
2022-05-07,48.0,55.7,79,24.2,9.30,48.5
2022-05-08,48.9,52.1,73,18.4,0.50,46.3
2022-05-09,48.1,51.8,78,14.9,1.50,46.4
2022-05-10,54.7,58.5,71,16.5,1.00,49.4
2022-05-11,49.4,57.6,71,19.6,0.50,49.6
2022-05-12,46.2,51.2,83,33.3,9.50,47.7
2022-05-13,51.5,55.7,70,17.6,0.80,48.3
2022-05-14,57.4,61.9,82,19.7,6.50,53.2
2022-05-15,60.5,61.3,94,15.5,17.70,54.4
2022-05-16,55.3,59.1,79,25.7,3.60,53.9
2022-05-17,55.0,58.9,71,12.2,0.00,50.9
2022-05-18,46.8,57.4,72,39.3,4.30,51.0
2022-05-19,50.5,55.9,72,15.7,0.60,48.6
2022-05-20,56.9,58.3,76,9.7,0.00,50.2
2022-05-21,60.7,64.6,76,13.9,0.10,53.6
2022-05-22,68.2,68.7,72,17.7,0.00,56.4
2022-05-23,60.1,63.4,77,15.6,1.30,56.3
2022-05-24,54.5,58.0,83,14.5,1.60,53.9
2022-05-25,64.0,68.0,78,25.9,0.80,57.7
2022-05-26,66.3,64.8,90,15.3,7.00,55.6
2022-05-27,55.1,60.1,77,28.7,1.60,55.3
2022-05-28,51.7,54.1,89,16.9,6.40,51.1
2022-05-29,56.8,59.4,85,16.3,9.80,52.2
2022-05-30,55.3,58.4,76,13.3,0.70,52.5
2022-05-31,62.6,65.5,80,21.7,7.80,55.6
2022-06-01,67.4,66.5,83,14.5,0.00,57.6
2022-06-02,71.2,70.1,86,9.2,0.30,60.7
2022-06-03,60.5,63.3,88,19.3,11.40,58.3
2022-06-04,65.8,64.4,89,11.3,14.30,58.4
2022-06-05,60.5,64.3,83,28.3,6.30,58.5
2022-06-06,61.2,62.9,77,13.2,0.30,55.8
2022-06-07,69.6,69.1,79,14.7,0.60,59.1
2022-06-08,67.2,68.4,73,18.4,0.20,60.2
